                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9618,                 4.0562,                 1.0828,                0.03469,                0.60805,                 0.0353,                0.01829,                 1.5721,                 3.8987,                 0.8954,             0.00010003,             0.00010003,             0.00010003
                      2,                 1.7773,                 2.6073,                0.99672,                0.02602,                0.51815,                0.09223,                0.03556,                 1.8466,                 3.5804,                0.92744,             0.00019313,             0.00019313,             0.00019313
                      3,                 1.6161,                 1.3391,                 0.9495,                0.02561,                0.57667,                0.26798,                0.13252,                 1.4828,                 2.8855,                0.86824,             0.00026359,             0.00026359,             0.00026359
                      4,                 1.6361,                 1.2096,                0.96925,                0.90554,                0.25812,                0.27227,                 0.0992,                 1.8487,                 2.5203,                0.92699,             0.00031142,             0.00031142,             0.00031142
                      5,                 1.5127,                 1.1275,                0.92598,                0.92928,                0.19998,                0.25469,                0.09299,                 1.7295,                 2.2306,                0.92172,             0.00033662,             0.00033662,             0.00033662
                      6,                 1.5069,                 1.0526,                0.90996,                0.94469,                0.15869,                0.26633,                0.09237,                 2.0341,                 1.9933,                0.96976,             0.00033917,             0.00033917,             0.00033917
                      7,                 1.4446,                0.96962,                0.91798,                0.94092,                0.23955,                0.29626,                0.13327,                 1.7212,                 1.7678,                0.92803,              0.0003191,              0.0003191,              0.0003191
                      8,                 1.4515,                 1.0013,                0.91386,                0.95403,                0.26122,                0.31239,                0.14858,                  1.618,                 1.6255,                0.89822,             0.00027638,             0.00027638,             0.00027638
                      9,                 1.4846,                 0.9647,                0.92403,                 0.9633,                0.26927,                0.32026,                0.16267,                 1.4922,                 1.5114,                0.87449,             0.00021103,             0.00021103,             0.00021103
                     10,                 1.4651,                0.99199,                 0.9225,                0.96443,                0.27577,                0.32145,                0.16141,                 1.4931,                 1.4525,                0.87495,             0.00012305,             0.00012305,             0.00012305
